id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020
2610,Scope 3,UK electricity T&D for EVs,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CH4,Class I (up to 1.305 tonnes) tonne.km,0.00005
2611,Scope 3,UK electricity T&D for EVs,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CO2,Class I (up to 1.305 tonnes) tonne.km,0.01661
2612,Scope 3,UK electricity T&D for EVs,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg N2O,Class I (up to 1.305 tonnes) tonne.km,0.0001
2613,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CO2e,Class II (1.305 to 1.74 tonnes) km,
2614,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CH4,Class II (1.305 to 1.74 tonnes) km,
2615,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CO2,Class II (1.305 to 1.74 tonnes) km,
2616,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg N2O,Class II (1.305 to 1.74 tonnes) km,
2617,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CO2e,Class II (1.305 to 1.74 tonnes) miles,
2618,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CH4,Class II (1.305 to 1.74 tonnes) miles,
2619,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CO2,Class II (1.305 to 1.74 tonnes) miles,
2620,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg N2O,Class II (1.305 to 1.74 tonnes) miles,
2621,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CO2e,Class II (1.305 to 1.74 tonnes) tonne.km,
2622,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CH4,Class II (1.305 to 1.74 tonnes) tonne.km,
2623,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CO2,Class II (1.305 to 1.74 tonnes) tonne.km,
2624,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg N2O,Class II (1.305 to 1.74 tonnes) tonne.km,
2625,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,km,km,kg CO2e,Class II (1.305 to 1.74 tonnes) km,0.00476
2626,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,km,km,kg CH4,Class II (1.305 to 1.74 tonnes) km,0.00001
2627,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,km,km,kg CO2,Class II (1.305 to 1.74 tonnes) km,0.00472
2628,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,km,km,kg N2O,Class II (1.305 to 1.74 tonnes) km,0.00003
2629,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,miles,miles,kg CO2e,Class II (1.305 to 1.74 tonnes) miles,0.00767
2630,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,miles,miles,kg CH4,Class II (1.305 to 1.74 tonnes) miles,0.00002
2631,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,miles,miles,kg CO2,Class II (1.305 to 1.74 tonnes) miles,0.0076
2632,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,miles,miles,kg N2O,Class II (1.305 to 1.74 tonnes) miles,0.00005
2633,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CO2e,Class II (1.305 to 1.74 tonnes) tonne.km,0.02162
2634,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CH4,Class II (1.305 to 1.74 tonnes) tonne.km,0.00007
2635,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CO2,Class II (1.305 to 1.74 tonnes) tonne.km,0.02142
2636,Scope 3,UK electricity T&D for EVs,Vans,Class II (1.305 to 1.74 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg N2O,Class II (1.305 to 1.74 tonnes) tonne.km,0.00013
2637,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CO2e,Class III (1.74 to 3.5 tonnes) km,
2638,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CH4,Class III (1.74 to 3.5 tonnes) km,
2639,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CO2,Class III (1.74 to 3.5 tonnes) km,
2640,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg N2O,Class III (1.74 to 3.5 tonnes) km,
2641,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CO2e,Class III (1.74 to 3.5 tonnes) miles,
2642,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CH4,Class III (1.74 to 3.5 tonnes) miles,
2643,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CO2,Class III (1.74 to 3.5 tonnes) miles,
2644,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg N2O,Class III (1.74 to 3.5 tonnes) miles,
2645,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CO2e,Class III (1.74 to 3.5 tonnes) tonne.km,
2646,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CH4,Class III (1.74 to 3.5 tonnes) tonne.km,
2647,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CO2,Class III (1.74 to 3.5 tonnes) tonne.km,
2648,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg N2O,Class III (1.74 to 3.5 tonnes) tonne.km,
2649,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,km,km,kg CO2e,Class III (1.74 to 3.5 tonnes) km,0.00667
2650,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,km,km,kg CH4,Class III (1.74 to 3.5 tonnes) km,0.00002
2651,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,km,km,kg CO2,Class III (1.74 to 3.5 tonnes) km,0.00661
2652,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,km,km,kg N2O,Class III (1.74 to 3.5 tonnes) km,0.00004
2653,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,miles,miles,kg CO2e,Class III (1.74 to 3.5 tonnes) miles,0.01072
2654,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,miles,miles,kg CH4,Class III (1.74 to 3.5 tonnes) miles,0.00003
2655,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,miles,miles,kg CO2,Class III (1.74 to 3.5 tonnes) miles,0.01063
2656,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,miles,miles,kg N2O,Class III (1.74 to 3.5 tonnes) miles,0.00006
2657,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CO2e,Class III (1.74 to 3.5 tonnes) tonne.km,0.02034
2658,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CH4,Class III (1.74 to 3.5 tonnes) tonne.km,0.00006
2659,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CO2,Class III (1.74 to 3.5 tonnes) tonne.km,0.02016
2660,Scope 3,UK electricity T&D for EVs,Vans,Class III (1.74 to 3.5 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg N2O,Class III (1.74 to 3.5 tonnes) tonne.km,0.00012
2661,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CO2e,Average (up to 3.5 tonnes) km,
2662,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CH4,Average (up to 3.5 tonnes) km,
2663,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg CO2,Average (up to 3.5 tonnes) km,
2664,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,km,km,kg N2O,Average (up to 3.5 tonnes) km,
2665,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CO2e,Average (up to 3.5 tonnes) miles,
2666,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CH4,Average (up to 3.5 tonnes) miles,
2667,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg CO2,Average (up to 3.5 tonnes) miles,
2668,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,miles,miles,kg N2O,Average (up to 3.5 tonnes) miles,
2669,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CO2e,Average (up to 3.5 tonnes) tonne.km,
2670,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CH4,Average (up to 3.5 tonnes) tonne.km,
2671,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg CO2,Average (up to 3.5 tonnes) tonne.km,
2672,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Plug-in Hybrid Electric Vehicle,tonne.km,tonne.km,kg N2O,Average (up to 3.5 tonnes) tonne.km,
2673,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,km,km,kg CO2e,Average (up to 3.5 tonnes) km,0.00477
2674,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,km,km,kg CH4,Average (up to 3.5 tonnes) km,0.00001
2675,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,km,km,kg CO2,Average (up to 3.5 tonnes) km,0.00473
2676,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,km,km,kg N2O,Average (up to 3.5 tonnes) km,0.00003
2677,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,miles,miles,kg CO2e,Average (up to 3.5 tonnes) miles,0.00768
2678,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,miles,miles,kg CH4,Average (up to 3.5 tonnes) miles,0.00002
2679,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,miles,miles,kg CO2,Average (up to 3.5 tonnes) miles,0.00761
2680,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,miles,miles,kg N2O,Average (up to 3.5 tonnes) miles,0.00005
2681,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CO2e,Average (up to 3.5 tonnes) tonne.km,0.0216
2682,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CH4,Average (up to 3.5 tonnes) tonne.km,0.00007
2683,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg CO2,Average (up to 3.5 tonnes) tonne.km,0.0214
2684,Scope 3,UK electricity T&D for EVs,Vans,Average (up to 3.5 tonnes),,Battery Electric Vehicle,tonne.km,tonne.km,kg N2O,Average (up to 3.5 tonnes) tonne.km,0.00013
2685,Scope 3,WTT- fuels,WTT- gaseous fuels,CNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,CNG kWh (Gross CV),0.03532
2686,Scope 3,WTT- fuels,WTT- gaseous fuels,CNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,CNG kWh (Net CV),0.03914
2687,Scope 3,WTT- fuels,WTT- gaseous fuels,CNG,,Volume,litres,litres,kg CO2e,CNG litres,0.08516
2688,Scope 3,WTT- fuels,WTT- gaseous fuels,CNG,,Tonnes,tonnes,tonnes,kg CO2e,CNG tonnes,486.62934
2689,Scope 3,WTT- fuels,WTT- gaseous fuels,LNG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LNG kWh (Gross CV),0.06367
2690,Scope 3,WTT- fuels,WTT- gaseous fuels,LNG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LNG kWh (Net CV),0.07055
2691,Scope 3,WTT- fuels,WTT- gaseous fuels,LNG,,Volume,litres,litres,kg CO2e,LNG litres,0.39688
2692,Scope 3,WTT- fuels,WTT- gaseous fuels,LNG,,Tonnes,tonnes,tonnes,kg CO2e,LNG tonnes,877.11583
2693,Scope 3,WTT- fuels,WTT- gaseous fuels,LPG,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,LPG kWh (Gross CV),0.02623
2694,Scope 3,WTT- fuels,WTT- gaseous fuels,LPG,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,LPG kWh (Net CV),0.02816
2695,Scope 3,WTT- fuels,WTT- gaseous fuels,LPG,,Volume,litres,litres,kg CO2e,LPG litres,0.19018
2696,Scope 3,WTT- fuels,WTT- gaseous fuels,LPG,,Tonnes,tonnes,tonnes,kg CO2e,LPG tonnes,359.33746
2697,Scope 3,WTT- fuels,WTT- gaseous fuels,Natural Gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Natural Gas kWh (Gross CV),0.02391
2698,Scope 3,WTT- fuels,WTT- gaseous fuels,Natural Gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Natural Gas kWh (Net CV),0.02649
2699,Scope 3,WTT- fuels,WTT- gaseous fuels,Natural Gas,,Volume,cubic metres,cubic metres,kg CO2e,Natural Gas cubic metres,0.26299
2700,Scope 3,WTT- fuels,WTT- gaseous fuels,Natural Gas,,Tonnes,tonnes,tonnes,kg CO2e,Natural Gas tonnes,329.35093
2701,Scope 3,WTT- fuels,WTT- gaseous fuels,Other Petroleum Gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Other Petroleum Gas kWh (Gross CV),0.02261
2702,Scope 3,WTT- fuels,WTT- gaseous fuels,Other Petroleum Gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Other Petroleum Gas kWh (Net CV),0.02458
2703,Scope 3,WTT- fuels,WTT- gaseous fuels,Other Petroleum Gas,,Volume,litres,litres,kg CO2e,Other Petroleum Gas litres,0.11654
2704,Scope 3,WTT- fuels,WTT- gaseous fuels,Other Petroleum Gas,,Tonnes,tonnes,tonnes,kg CO2e,Other Petroleum Gas tonnes,318.1662
2705,Scope 3,WTT- fuels,WTT- liquid fuels,Aviation Spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation Spirit kWh (Gross CV),0.06224
2706,Scope 3,WTT- fuels,WTT- liquid fuels,Aviation Spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation Spirit kWh (Net CV),0.06552
2707,Scope 3,WTT- fuels,WTT- liquid fuels,Aviation Spirit,,Volume,litres,litres,kg CO2e,Aviation Spirit litres,0.58166
2708,Scope 3,WTT- fuels,WTT- liquid fuels,Aviation Spirit,,Tonnes,tonnes,tonnes,kg CO2e,Aviation Spirit tonnes,817.22541
2709,Scope 3,WTT- fuels,WTT- liquid fuels,Aviation Turbine Fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation Turbine Fuel kWh (Gross CV),0.0513
2710,Scope 3,WTT- fuels,WTT- liquid fuels,Aviation Turbine Fuel,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation Turbine Fuel kWh (Net CV),0.054
2711,Scope 3,WTT- fuels,WTT- liquid fuels,Aviation Turbine Fuel,,Volume,litres,litres,kg CO2e,Aviation Turbine Fuel litres,0.52644
2712,Scope 3,WTT- fuels,WTT- liquid fuels,Aviation Turbine Fuel,,Tonnes,tonnes,tonnes,kg CO2e,Aviation Turbine Fuel tonnes,658.57037
2713,Scope 3,WTT- fuels,WTT- liquid fuels,Burning Oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Burning Oil kWh (Gross CV),0.0513
2714,Scope 3,WTT- fuels,WTT- liquid fuels,Burning Oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Burning Oil kWh (Net CV),0.054
2715,Scope 3,WTT- fuels,WTT- liquid fuels,Burning Oil,,Volume,litres,litres,kg CO2e,Burning Oil litres,0.52835
2716,Scope 3,WTT- fuels,WTT- liquid fuels,Burning Oil,,Tonnes,tonnes,tonnes,kg CO2e,Burning Oil tonnes,658.32847
2717,Scope 3,WTT- fuels,WTT- liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Diesel (average biofuel blend) kWh (Gross CV),0.05765
2718,Scope 3,WTT- fuels,WTT- liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Diesel (average biofuel blend) kWh (Net CV),0.06127
2719,Scope 3,WTT- fuels,WTT- liquid fuels,Diesel (average biofuel blend),,Volume,litres,litres,kg CO2e,Diesel (average biofuel blend) litres,0.61015
2720,Scope 3,WTT- fuels,WTT- liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,tonnes,kg CO2e,Diesel (average biofuel blend) tonnes,725.79617
2721,Scope 3,WTT- fuels,WTT- liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Diesel (100% mineral diesel) kWh (Gross CV),0.05888
2722,Scope 3,WTT- fuels,WTT- liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Diesel (100% mineral diesel) kWh (Net CV),0.06264
2723,Scope 3,WTT- fuels,WTT- liquid fuels,Diesel (100% mineral diesel),,Volume,litres,litres,kg CO2e,Diesel (100% mineral diesel) litres,0.62611
2724,Scope 3,WTT- fuels,WTT- liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,tonnes,kg CO2e,Diesel (100% mineral diesel) tonnes,746.95319
2725,Scope 3,WTT- fuels,WTT- liquid fuels,Fuel Oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Fuel Oil kWh (Gross CV),0.05076
2726,Scope 3,WTT- fuels,WTT- liquid fuels,Fuel Oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Fuel Oil kWh (Net CV),0.054
2727,Scope 3,WTT- fuels,WTT- liquid fuels,Fuel Oil,,Volume,litres,litres,kg CO2e,Fuel Oil litres,0.60346
2728,Scope 3,WTT- fuels,WTT- liquid fuels,Fuel Oil,,Tonnes,tonnes,tonnes,kg CO2e,Fuel Oil tonnes,610.70544
2729,Scope 3,WTT- fuels,WTT- liquid fuels,Gas Oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Gas Oil kWh (Gross CV),0.05888
2730,Scope 3,WTT- fuels,WTT- liquid fuels,Gas Oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Gas Oil kWh (Net CV),0.06264
2731,Scope 3,WTT- fuels,WTT- liquid fuels,Gas Oil,,Volume,litres,litres,kg CO2e,Gas Oil litres,0.63253
2732,Scope 3,WTT- fuels,WTT- liquid fuels,Gas Oil,,Tonnes,tonnes,tonnes,kg CO2e,Gas Oil tonnes,740.69721
2733,Scope 3,WTT- fuels,WTT- liquid fuels,Lubricants,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Lubricants kWh (Gross CV),0.03227
2734,Scope 3,WTT- fuels,WTT- liquid fuels,Lubricants,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Lubricants kWh (Net CV),0.03433
2735,Scope 3,WTT- fuels,WTT- liquid fuels,Lubricants,,Volume,litres,litres,kg CO2e,Lubricants litres,
2736,Scope 3,WTT- fuels,WTT- liquid fuels,Lubricants,,Tonnes,tonnes,tonnes,kg CO2e,Lubricants tonnes,388.26621
2737,Scope 3,WTT- fuels,WTT- liquid fuels,Naphtha,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Naphtha kWh (Gross CV),0.04822
2738,Scope 3,WTT- fuels,WTT- liquid fuels,Naphtha,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Naphtha kWh (Net CV),0.05076
2739,Scope 3,WTT- fuels,WTT- liquid fuels,Naphtha,,Volume,litres,litres,kg CO2e,Naphtha litres,
2740,Scope 3,WTT- fuels,WTT- liquid fuels,Naphtha,,Tonnes,tonnes,tonnes,kg CO2e,Naphtha tonnes,640.7392
2741,Scope 3,WTT- fuels,WTT- liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Petrol (average biofuel blend) kWh (Gross CV),0.06274
2742,Scope 3,WTT- fuels,WTT- liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Petrol (average biofuel blend) kWh (Net CV),0.06614
2743,Scope 3,WTT- fuels,WTT- liquid fuels,Petrol (average biofuel blend),,Volume,litres,litres,kg CO2e,Petrol (average biofuel blend) litres,0.59344
2744,Scope 3,WTT- fuels,WTT- liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,tonnes,kg CO2e,Petrol (average biofuel blend) tonnes,805.30699
2745,Scope 3,WTT- fuels,WTT- liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Petrol (100% mineral petrol) kWh (Gross CV),0.06224
2746,Scope 3,WTT- fuels,WTT- liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Petrol (100% mineral petrol) kWh (Net CV),0.06552
2747,Scope 3,WTT- fuels,WTT- liquid fuels,Petrol (100% mineral petrol),,Volume,litres,litres,kg CO2e,Petrol (100% mineral petrol) litres,0.59732
2748,Scope 3,WTT- fuels,WTT- liquid fuels,Petrol (100% mineral petrol),,Tonnes,tonnes,tonnes,kg CO2e,Petrol (100% mineral petrol) tonnes,813.54729
2749,Scope 3,WTT- fuels,WTT- liquid fuels,Processed fuel oils - residual oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Processed fuel oils - residual oil kWh (Gross CV),0.03266
2750,Scope 3,WTT- fuels,WTT- liquid fuels,Processed fuel oils - residual oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Processed fuel oils - residual oil kWh (Net CV),0.03475
2751,Scope 3,WTT- fuels,WTT- liquid fuels,Processed fuel oils - residual oil,,Volume,litres,litres,kg CO2e,Processed fuel oils - residual oil litres,0.3883
2752,Scope 3,WTT- fuels,WTT- liquid fuels,Processed fuel oils - residual oil,,Tonnes,tonnes,tonnes,kg CO2e,Processed fuel oils - residual oil tonnes,392.95562
2753,Scope 3,WTT- fuels,WTT- liquid fuels,Processed fuel oils - distillate oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Processed fuel oils - distillate oil kWh (Gross CV),0.03105
2754,Scope 3,WTT- fuels,WTT- liquid fuels,Processed fuel oils - distillate oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Processed fuel oils - distillate oil kWh (Net CV),0.03303
2755,Scope 3,WTT- fuels,WTT- liquid fuels,Processed fuel oils - distillate oil,,Volume,litres,litres,kg CO2e,Processed fuel oils - distillate oil litres,0.33355
2756,Scope 3,WTT- fuels,WTT- liquid fuels,Processed fuel oils - distillate oil,,Tonnes,tonnes,tonnes,kg CO2e,Processed fuel oils - distillate oil tonnes,390.58213
2757,Scope 3,WTT- fuels,WTT- liquid fuels,Refinery Miscellaneous,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Refinery Miscellaneous kWh (Gross CV),0.03008
2758,Scope 3,WTT- fuels,WTT- liquid fuels,Refinery Miscellaneous,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Refinery Miscellaneous kWh (Net CV),0.03167
2759,Scope 3,WTT- fuels,WTT- liquid fuels,Refinery Miscellaneous,,Volume,litres,litres,kg CO2e,Refinery Miscellaneous litres,
2760,Scope 3,WTT- fuels,WTT- liquid fuels,Refinery Miscellaneous,,Tonnes,tonnes,tonnes,kg CO2e,Refinery Miscellaneous tonnes,359.15598
2761,Scope 3,WTT- fuels,WTT- liquid fuels,Waste oils,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Waste oils kWh (Gross CV),0.03091
2762,Scope 3,WTT- fuels,WTT- liquid fuels,Waste oils,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Waste oils kWh (Net CV),0.03311
